title,year,author,genres,pages
The Science of Sherlock Holmes,2006,E. J. Wagner,,244
All the Shah's Men,2004,Stephen Kinzer,History,272
Information Technology for Management,2006,Efraim Turban,,724
Limbo,2005,Alfred Lubrano,Social Science,248
Data Structures and Algorithms in Java,2005,"Michael T. Goodrich, Roberto Tamassia",,720
The Warren Buffett Way,2010,Robert G. Hagstrom,Biography & Autobiography,245
Lady on the Hill,2006,Howard E. Covington,Travel,331
Baby Signing For Dummies,2006,Jennifer Watson,Family & Relationships,257
Power of An Hour,2006,Dave Lakhani,Business & Economics,205
The Science of Stephen King,2007,"Lois H. Gresh, Robert Weinberg",Literary Criticism,272
Feminist Measures,1994,"Lynn Keller, Cristanne Miller",Social Science,424
Simulacra and Simulation,1994,Jean Baudrillard,Social Science,164
Their Sisters' Keepers,1984,Estelle B. Freedman,History,272
The Philosophy of History,1956,Georg Wilhelm Friedrich Hegel,History,457
The Will to Believe,1956,William James,Philosophy,448
Fads and Fallacies in the Name of Science,1957,Martin Gardner,Science,384
Three Graphic Novels,1966,E.F. Bleiler,Fiction,291
Best Science Fiction Stories of H. G. Wells,1966,Herbert George Wells,,320
The World as Will and Representation,1958,Arthur Schopenhauer,Philosophy,534
Technical Manual and Dictionary of Classical Ballet,1982,Gail Grant,Performing Arts,176
Lost Continents,1970,Lyon Sprague De Camp,Social Science,363
Mozart's Don Giovanni,1985,"Wolfgang Amadeus Mozart, Ellen H. Bleiler, Lorenzo Da Ponte",Music,128
1001 Illuminated Initial Letters,1988,Owen Jones,,32
Galapagos,1988,William Beebe,Nature,528
Bartleby and Benito Cereno,1990,Herman Melville,Fiction,112
Candide,1991,Voltaire,Fiction,129
"Young Goodman Brown, and Other Short Stories",1992,Nathaniel Hawthorne,Fiction,111
The Gift of the Magi and Other Short Stories,1992,O. Henry,Fiction,96
The Rime of the Ancient Mariner and Other Poems,1992,Samuel Taylor Coleridge,Poetry,76
A Diderot Pictorial Encyclopedia of Trades and Industry,1993,Denis Diderot,,239
"The Road Not Taken, and Other Poems",1993,Robert Frost,Poetry,49
The Secret Garden Coloring Book,2014,Frances Hodgson Burnett,Juvenile Nonfiction,48
The Adventures of Jimmy Skunk,1994,"Thornton W. Burgess, Harrison Cady, Thea Kliros",Juvenile Fiction,96
The Marriage of Heaven and Hell,1994,William Blake,Art,48
The Birth of Tragedy,1995,Friedrich Wilhelm Nietzsche,Philosophy,92
Children's Christmas Stories and Poems,2011,Candace Ward,Juvenile Fiction,96
A Modest Proposal and Other Satirical Works,1996,Jonathan Swift,,64
Great Short Stories by American Women,1996,Candace Ward,Fiction,208
The Oresteia Trilogy,1996,"Aeschylus, E. D. A. Morshead",Drama,151
Black Beauty Coloring Book,1996,"Anna Sewell, John Green",Juvenile Nonfiction,48
Ballet Class Coloring Book,1997,"John Green, Caroline Denzler",Juvenile Nonfiction,48
Best Ghost and Horror Stories,1997,"Bram Stoker, Richard Dalby, Stefan R. Dziemianowicz, S. T. Joshi",Fiction,272
Enter Jeeves,1997,"P. G. Wodehouse, David A. Jasen",Fiction,256
The Odyssey,1998,"Homer, George Herbert Palmer",Poetry,239
The Wit and Wisdom of Mark Twain,1998,Mark Twain,Literary Criticism,64
An Ideal Husband,2001,Oscar Wilde,Humor,78
Politics,2000,"Aristotle, Benjamin Jowett, H. W. C. Davis",Political Science,368
The Canterville Ghost and Other Stories,2001,Oscar Wilde,Fiction,120
The House of Mirth,2002,Edith Wharton,Fiction,272
Life is a Dream,2002,"Pedro Calderón de la Barca, Stanley Appelbaum",Drama,96
Letters to a Young Poet,2002,"Rainer Maria Rilke, Franz Xaver Kappus, Reginald Snell",Poetry,80
Oliver Twist,2002,Charles Dickens,Fiction,368
Howards End,2002,E. M. Forster,Fiction,246
Women in Love,2003,D. H. Lawrence,Fiction,416
The Trojan Women and Hippolytus,2002,Euripides,Drama,64
Life Is a Dream/La Vida Es Sueño,2002,"Pedro Calderon de la Barca, Stanley Appelbaum",,208
The Pilgrim's Progress,2003,John Bunyan,Fiction,324
Gorgias and Timaeus,2003,"Plato, Benjamin Jowett",,256
Great Russian Short Stories,2003,Paul Negri,Fiction,208
Babbitt,2003,Sinclair Lewis,Fiction,320
Hunger,2003,"Knut Hamsun, George Egerton",Biography & Autobiography,134
The Jew of Malta,2003,"Christopher Marlowe, Havelock Ellis",Drama,80
The Idiot,2003,"Fyodor Dostoyevsky, Constance Garnett",Fiction,540
Critique of Pure Reason,2003,"Immanuel Kant, J. M. D. Meiklejohn",Philosophy,480
Discourse on the Origin of Inequality,2004,Jean-Jacques Rousseau,Philosophy,73
The Philosophy of History,2004,"Georg Wilhelm Friedrich Hegel, J. Sibree",Philosophy,480
Anna Karenina,2004,"graf Leo Tolstoy, Louise Maude, Aylmer Maude",Fiction,752
The Sword of Welleran,2005,Lord Dunsany,Fiction,112
Paradise Lost,2005,"John Milton, John A. Himes",Poetry,480
Autobiography of Thomas Jefferson,2005,Thomas Jefferson,History,112
Philosophy of Right,2005,"G. W. F. Hegel, S. W. Dyde",Philosophy,272
The Worm Ouroboros,2006,"E. R. Eddison, Keith Henderson",Fiction,446
Great Speeches by African Americans,2006,James Daley,Social Science,160
Intimate Journals,2006,"Charles Baudelaire, Christopher Isherwood, W. H. Auden",,128
On the Origin of Species,2006,Charles Darwin,Science,336
The Kingdom of God Is Within You,2006,"Leo Tolstoy, Constance Garnett",Religion,352
Quicksand,2006,Nella Larsen,Fiction,125
Sociology in Our Times,2006,Diana Kendall,Science,742
A History of Modern Psychology,2007,"Duane Schultz, Sydney Schultz",Psychology,558
The Seventy Wonders of the Ancient World,1999,Christopher Scarre,Architecture,304
Jean-Jacques Rousseau and His World,1972,Sir Gavin De Beer,,128
Graphic Design,2001,Richard Hollis,Art,232
Greek Mythology,2004,Richard Buxton,,256
The Rainbow Goblins,1994,Ul De Rico,Juvenile Fiction,32
Big Bad Wolf,1997,"Linda Jones, Linda Winstead",Fiction,359
An Original Sin,1999,Nina Bangs,Fiction,394
Aphrodite's Passion,2002,Julie Kenner,Fiction,352
Call of the Moon,2002,Ronda Thompson,Fiction,352
Love Bites,2003,Lynsay Sands,Fiction,373
Dancing on my grave,1987,Gelsey Kirkland,Biography & Autobiography,363
The Aviators,1989,W. E. B. Griffin,Fiction,464
The Valentine Legacy,1996,Catherine Coulter,Fiction,406
The Maze,1998,Catherine Coulter,Fiction,339
Cold Blood,1999,Lynda La Plante,Fiction,462
Flying Finish,1999,Dick Francis,Fiction,276
Heart of the Sea,2000,Nora Roberts,Fiction,369
Out of this World,2001,,Fiction,357
Beyond Seduction,2002,Emma Holly,Fiction,297
Shadow Game,2003,Christine Feehan,Fiction,323
Laurell K. Hamilton Set,2003,Laurell K. Hamilton,Fiction,1256
After Glow,2004,"Jayne Castle, Jayne Ann Krentz",Fiction,343
Cravings,2004,"MaryJanice Davidson, Eileen Wilks, Rebecca York",Fiction,358
Bite,2005,"Charlaine Harris, MaryJanice Davidson, Angela Knight, Vickie Taylor",Fiction,297
"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",2005,Laurell K. Hamilton,Fiction,722
Spellbound,2005,Nora Roberts,Fiction,96
Micah. (Anita Blake,2006,Laurell K. Hamilton,,245
Ghost Hunter,2006,Jayne Castle,Fiction,327
Morrigan's Cross,2006,Nora Roberts,Fiction,321
Dance of the Gods,2006,Nora Roberts,Fiction,321
Valley of Silence,2006,Nora Roberts,Fiction,318
The Complete Science Fiction Treasury of H.G. Wells,1991,H. G. Wells,,0
Three Complete Novels,1992,Sandra Brown,Fiction,784
Complete Poems,1992,Edgar Allan Poe,Poetry,128
Three Complete Novels,1993,Michael Crichton,Fiction,688
Three Complete Novels,1993,Edward Morgan Forster,English fiction,503
The Complete Hans Christian Andersen Fairy Tales,1984,Hans Christian Andersen,Juvenile Fiction,803
Four Novels,1993,Charles Dickens,Fiction,848
A New Collection of Three Complete Novels,1994,Michael Crichton,Fiction,720
Jane Austen : the Complete Novels,1981,Jane Austen,,1103
Two Complete Novels,1987,Douglas Adams,,436
The Tolkien Companion,1976,"J. E. A. Tyler, John Ronald Reuel Tolkien",Literary Criticism,531
John Irving,1995,John Irving,Fiction,718
The Complete Novels,1981,Jane Austen,Fiction,1103
The Ultimate Hitchhiker's Guide,1996,Douglas Adams,Fiction,815
The Crossing,1996,Cormac McCarthy,,425
The Complete Adventures and Memoirs of Sherlock Holmes,2001,Arthur Conan Doyle,Fiction,334
Three Terrifying Bestselling Novels,1996,John Saul,Fiction,678
The Secret Garden,1998,Frances Hodgson Burnett,Juvenile Fiction,331
Three Complete Novels,1999,Colleen McCullough,Fiction,768
Three complete novels,2002,Stephen King,Fiction,1096
A Christmas Carol and the Night Before Christmas,2006,"Charles Dickens, Arthur Rackham, Clement Clarke Moore",Fiction,156
Works of Jack London,1980,Jack London,Adventure stories,761
Daphne Dumaurier,1988,"Outlet, Outlet Book Company Staff, Daphne du Maurier, Dam, Random House Value Publishing Staff, Rh Value Publishing",,677
Favorite Tales of Sholom Aleichem,1983,"Sholem Aleichem, Julius Butwin, Frances Butwin",Fiction,692
H.G. Wells Science Fiction Treasury,1984,Herbert George Wells,,688
Be Here Now,2010,Ram Dass,"Body, Mind & Spirit",416
"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",1992,William F. Russell,Fiction,272
The Illustrated Hitchhiker's Guide to the Galaxy,1994,Douglas Adams,Science,96
China and Japan,1988,Donald A. Mackenzie,Travel,404
The Portable James Joyce,1947,James Joyce,Fiction,762
The Orion Mystery,1994,Robert Bauval,History,352
The Pound Era,1973,Hugh Kenner,Literary Criticism,624
The Haunted Screen,1969,Lotte H. Eisner,Performing Arts,360
The Politics of Cultural Despair,1974,Fritz R. Stern,History,367
Europe and the People Without History,1982,Eric R. Wolf,Social Science,534
The Responsibility of Forms,1991,Roland Barthes,Literary Criticism,320
Geisha,1998,Liza Crihfield Dalby,Social Science,367
Balanchine,1996,Bernard Taper,Biography & Autobiography,413
"Haiti, History, and the Gods",1998,Joan Dayan,History,362
Masculinity and Male Codes of Honor in Modern France,1998,Robert A. Nye,History,316
Infections and Inequalities,2001,Paul Farmer,Medical,424
Undertaker of the Mind,2001,"Jonathan Andrews, Andrew T. Scull",Biography & Autobiography,386
Exiled in Paris,2003,James Campbell,Biography & Autobiography,304
The Whole World Is Watching,2003,Todd Gitlin,Political Science,352
Berlioz,2003,David Cairns,Biography & Autobiography,907
浅草紅団,2005,Yasunari Kawabata,Fiction,181
The Poems of Exile,1994,Ovid,History,451
Pathologies of Power,2005,Paul Farmer,History,438
Giovanni and Lusanna,2005,Gene Brucker,History,160
World Atlas of Great Apes and Their Conservation,2005,"Julian Oliver Caldecott, Lera Miles",Nature,456
Storming the Gates of Paradise,2007,Rebecca Solnit,History,416
Gardening with a Wild Heart,2007,Judith Larner Lowry,,267
Spinoza,2001,"Steven Nadler, Steven M. Nadler",Biography & Autobiography,422
The Ethics and Politics of Asylum,2004,Matthew J. Gibney,,287
Insurgent Collective Action and Civil War in El Salvador,2003,"Elisabeth Jean Wood, Wood Elisabeth Jean",History,332
Who Needs Greek?,2002,Simon Goldhill,History,334
The Presocratic Philosophers,1983,"G. S. Kirk, J. E. Raven, M. Schofield",Philosophy,518
Moral Luck,1981,Bernard Williams,Philosophy,188
Evolution and the Theory of Games,1982,John Maynard Smith,Science,234
Problems of the Self,1976,Bernard Williams,Philosophy,276
The Winter's Tale,2007,"William Shakespeare, Susan Snyder, Deborah T. Curren-Aquino",Drama,279
Tolstoy: Anna Karenina,1987,Anthony Thorlby,Literary Criticism,128
Reading Greek Tragedy,1986,"Simon Goldhill, Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill",Drama,302
Gabriel García Márquez: One Hundred Years of Solitude,1990,Michael Wood,Language Arts & Disciplines,132
"Philosophical Papers: Volume 1, Human Agency and Language",1985,Charles Taylor,Philosophy,304
Cicero: On Duties,1991,"Cicero, Marcus Tullius Cicero, Quintus Tullius Cicero",History,241
Hegel: Elements of the Philosophy of Right,1991,Georg Wilhelm Fredrich Hegel,History,569
The Collapse of Complex Societies,1990,Joseph Tainter,Social Science,262
The Return of Grand Theory in the Human Sciences,1990,Quentin Skinner,History,224
Fitzgerald: All The Sad Young Men,2007,F. Scott Fitzgerald,Fiction,504
The Rise and Fall of Anne Boleyn,1991,Retha M. Warnicke,History,338
Numerical Recipes in C,1992,William H. Press,,336
The Invention of Tradition,1992,"Hobsbawm, E. J. Hobsbawm, Eric Hobsbawm, Terence Ranger",History,320
The Myth of the Magus,1993,"E. M. Butler, Eliza Marian Butler",Religion,320
Nations and Nationalism Since 1780,1992,E. J. Hobsbawm,History,214
The Cambridge Companion to Plotinus,1996,"Lloyd Phillip Gerson, Lloyd P. Gerson",Philosophy,480
Foucault's Virginity,1995,"Simon Goldhill, Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill",History,212
Aristotle: The Politics and the Constitution of Athens,1996,Aristotle,History,327
The Cambridge Companion to Jane Austen,1997,John O. Jordan,Literary Criticism,251
A Midsummer Night's Dream,2003,William Shakespeare,Drama,168
King Richard II,2003,"William Shakespeare, Andrew Gurr",Drama,252
"Hamlet, Prince of Denmark",2003,"William Shakespeare, Philip Edwards",Drama,270
Twelfth Night Or What You Will,2004,"William Shakespeare, Elizabeth Story Donno",Drama,186
Aeschylus: The Oresteia,2004,Simon Goldhill,Drama,95
Nietzsche: Daybreak,1997,Friedrich Nietzsche,Philosophy,292
The Tragedy of King Lear,2005,"William Shakespeare, Jay L. Halio",Drama,334
Hamlet,2005,William Shakespeare,Juvenile Nonfiction,289
The Cambridge Companion to Schopenhauer,1999,Christopher Janaway,Philosophy,494
Nietzsche: The Birth of Tragedy and Other Writings,1999,"Friedrich Nietzsche, Nietzsche Friedrich",Philosophy,204
Pearl S. Buck,1998,"Peter Conn, Peter J. Conn",Biography & Autobiography,500
Practical Philosophy,1999,Immanuel Kant,Philosophy,704
The Cambridge Companion to Cervantes,2002,Anthony J. Cascardi,Literary Criticism,264
Introduction to Phenomenology,2000,Robert Sokolowski,Philosophy,248
Numerical Recipes Example Book (C++),2002,William T. Vetterling,,330
Jungle Love Level 5,2002,Margaret Johnson,,95
Genres in Dialogue,2000,Andrea Wilson Nightingale,,238
Charles Taylor,2004,"Ruth Abbey, Lecturer in Philosophy Ruth Abbey, Cambridge University Press",History,220
A First Course in String Theory,2004,Barton Zwiebach,Science,578
Myths of the Underworld Journey,2004,"Radcliffe G. Edmonds, III",History,276
Economic Origins of Dictatorship and Democracy,2006,"Daron Acemoglu, James A. Robinson",Business & Economics,416
Triax,1977,Robert Silverberg,Science fiction,214
Boltzmon!,1999,William Sleator,Juvenile Fiction,160
Three Complete Novels,2001,Lloyd Alexander,Juvenile Fiction,752
"Boy, Were We Wrong about Dinosaurs!",2005,Kathleen V. Kudlinski,Juvenile Nonfiction,32
The Grits (Girls Raised in the South) Guide to Life,2003,"Deborah Ford, Edie Hand",Social Science,249
Atlas Shrugged,2005,Ayn Rand,Fiction,1176
The Woods,2007,Harlan Coben,Fiction,404
The Last Eyewitness,2006,"Chris Seay, David B. Capes, Brian McLaren",,144
Data Structures and Algorithms in C++,2004,Adam Drozdek,,758
Slaughterhouse Blues,2004,"Donald D. Stull, Michael J. Broadway",Social Science,172
The Illustrated Man,1952,Ray Bradbury,,186
Strata,1988,Terry Pratchett,English fiction,285
A Prayer for Owen Meany,1990,John Irving,American fiction,637
A Tourist Guide to Lancre,1998,"Terry Pratchett, Stephen Briggs",Fiction,32
Nanny Ogg's Cookbook,2001,"Terry Pratchett, Stephen Briggs, Paul Kidby, Tina Hannan",Fiction,176
The Swords of Night and Day,2005,David Gemmell,,640
Queen of Sorcery,2000,David Eddings,Fantasy fiction,447
Castle of Wizardry,2000,David Eddings,Fantasy fiction,443
Not Without My Daughter,2004,"Betty Mahmoody, William Hoffer",,528
Moving Pictures,2005,Terry Pratchett,,396
Reaper Man,2005,Terry Pratchett,,352
Lords and Ladies,2005,Terry Pratchett,,400
Bravo Two Zero,2005,Andy McNab,,416
Hogfather,2006,Terry Pratchett,,432
Spindle's End,2003,Robin McKinley,Children's stories,464
Beauty,2004,Robin McKinley,,271
Vox,2006,"Paul Stewart, Chris Riddell",Children's stories,400
Past Mortem,2005,Ben Elton,Fiction,464
Popcorn,2003,Ben Elton,,320
Merde Actually,2006,Stephen Clarke,,447
The Hotel New Hampshire,1986,John Irving,Fiction,520
בין אלקסרין,1994,Naguib Mahfouz,,498
The Sparrow,1997,Mary Doria Russell,,506
Chocolat,1999,Joanne Harris,,320
Blackberry Wine,2001,Joanne Harris,,334
The Short History of a Prince,1999,Jane Hamilton,,432
THE HOTEL NEW HAMPSHIRE,2010,JOHN IRVING,,379
Chocolat. Joanne Harris,2000,Joanne Harris,,320
My Movie Business,2000,John Irving,,158
Tales of the City,2000,Armistead Maupin,,272
More Tales of the City,2000,Armistead Maupin,,288
Further Tales of the City,2000,Armistead Maupin,,271
Sure of You,1991,Armistead Maupin,,284
Five Quarters of the Orange,2002,Joanne Harris,,432
The Secret Dreamworld of a Shopaholic,2000,Sophie Kinsella,,320
Dead Famous,2002,Ben Elton,Fiction,382
High Society,2003,Ben Elton,Fiction,380
A Brief History of Time,1998,Stephen Hawking,,198
Stephen Hawking's A Brief History of Time,1992,Stephen W. Hawking,Nature,194
SeinLanguage,1993,Jerry Seinfeld,Humor,180
Gravity's Rainbow,1974,Thomas Pynchon,,887
The Illustrated a Brief History of Time,1996,Stephen Hawking,Science,256
Switch on the Night,2004,"Ray Bradbury, Leo Dillon, Diane Dillon",Juvenile Fiction,40
Ragtime,1975,E. L. Doctorow,,369
The Greatest Salesman in the World,1974,Og Mandino,,111
Encyclopedia Brown and the Case of the Treasure Hunt,1989,Donald J. Sobol,Juvenile Fiction,96
Chicken Trek,1989,Stephen Manes,,128
Jessica's Bad Idea,1989,"Jamie Suzanne, Francine Pascal",Juvenile Fiction,104
All Fall Down,1991,John Saul,Fiction,329
The Complete Short Stories of Mark Twain,2005,Mark Twain,Fiction,848
The Brothers Karamazov,1970,Fyodor Dostoyevsky,Fiction,1072
Sherlock Holmes the Complete Novels and Stories Book Discussion Kit,2012,,Detective and mystery stories,1059
The Complete Plays of Aristophanes,1981,Aristophanes,Drama,577
Divine Comedy - Purgatorio,1988,Dante Alighieri,,413
"Maggie, a Girl of the Streets and Other Short Fiction",1986,Stephen Crane,Fiction,240
Journey To The Center Of The Earth,2006,Jules Verne,Fiction,240
Slim Down Camp,1986,Stephen Manes,Health & Fitness,176
Emma,1983,"Charlotte Brontë, Jane Austen",Fiction,215
Goodbye Forever,1984,Barbara Conklin,Juvenile Fiction,135
The Broken Gun,1984,Louis L'Amour,Fiction,192
From Socrates to Sartre,1984,T. Z. Lavine,Philosophy,426
"First, last and always",1985,Barbara Conklin,Fiction,160
Exodus,1958,Leon Uris,,608
Fire Watch,1998,Connie Willis,Fiction,288
Magician,1985,Raymond E. Feist,,336
Forging the Darksword,1988,"Margaret Weis, Tracy Hickman",Fiction,391
Winter Dreams,1988,"Barbara Conklin, Stefanie Curtis",,176
Shakespeare Alive!,1988,"Joseph Papp, Elizabeth Kirkland",Drama,240
The Road to Gandolfo,1992,Robert Ludlum,Fiction,320
Doom of the Darksword,1988,Margaret Weis,Fiction,383
The Delta Star,1984,Joseph Wambaugh,Fiction,291
The House of the Spirits,1986,Isabel Allende,Fiction,433
Triumph of the Darksword,1988,"Margaret Weis, Tracy Hickman",Fiction,350
Starting Over,1987,Francine Pascal,Juvenile Fiction,153
Forbidden Love,1987,"Kate William, Francine Pascal",Juvenile Fiction,138
The New Jessica,1986,Francine Pascal,Juvenile Fiction,136
Double Love,1983,"Francine Pascal, Kate William",Juvenile Fiction,182
Secrets,1983,"Francine Pascal, Kate William",Juvenile Fiction,118
Narcissus and Goldmund,1971,Hermann Hesse,Fiction,320
Dear Sister,1984,"Kate William, Francine Pascal",Juvenile Fiction,160
The Angry Hills,1984,Leon Uris,Fiction,245
I Know why the Caged Bird Sings,1993,Maya Angelou,Biography & Autobiography,289
Alone in the Crowd,1986,Francine Pascal,Juvenile Fiction,136
Mitla Pass,1989,Leon Uris,Fiction,495
Creature,1990,John Saul,Fiction,416
Journey of Awakening,1990,"Ram Dass, Daniel Goleman",Self-Help,448
Dragon Wing,1990,"Margaret Weis, Tracy Hickman",Fiction,430
Texas! Lucky,1991,Sandra Brown,Fiction,336
22 Indigo Place,1991,Sandra Brown,Fiction,200
The Wakefields of Sweet Valley,1991,"Kate William, Francine Pascal",Juvenile Fiction,346
Pebble in the Sky,1991,Isaac Asimov,Fiction,308
Texas! Sage,1992,Sandra Brown,Fiction,352
Fire Sea,1992,"Margaret Weis, Tracy Hickman",Fiction,414
Forbidden Knowledge,1992,Stephen R. Donaldson,Fiction,480
A Whole New Light,1992,Sandra Brown,Fiction,227
The Robots of Dawn,1994,Isaac Asimov,Fiction,435
Lila,1992,Robert M. Pirsig,Education,480
The Mind's I,1982,"Douglas R. Hofstadter, Daniel Clement Dennett",Philosophy,512
The Glory and the Dream,1990,William Manchester,History,1397
Seven Plays,1984,"Sam Shepard, Joseph Chaikin",Drama,336
The Sixties,1993,Todd Gitlin,History,544
Feersum Endjinn,1995,Iain Banks,Fiction,311
The Dog Who Loved Too Much,1997,Nicholas H. Dodman,,258
Girls in Pants,2005,Ann Brashares,Juvenile Fiction,338
The Fairy Tales of Hermann Hesse,1995,Hermann Hesse,Fiction,266
Fierce Invalids Home from Hot Climates,2000,Tom Robbins,Fiction,445
A Brief History of Time,1998,Stephen Hawking,Science,212
Snow Crash,2000,Neal Stephenson,Fiction,438
The Diamond Age,2000,Neal Stephenson,Fiction,499
Stories,2000,Anton Pavlovich Chekhov,Fiction,467
The bonfire of the vanities,1987,Tom Wolfe,Fiction,690
Tides of War,2001,Steven Pressfield,Fiction,448
Men Who Hate Women and the Women Who Love Them,2002,"Susan Forward, Joan Torres",Family & Relationships,304
Beach Music,2002,Pat Conroy,Fiction,592
The Prince of Tides,2002,Pat Conroy,Fiction,679
A Clash of Kings,2002,George R. R. Martin,Fiction,969
Last of the Amazons,2003,Steven Pressfield,Fiction,400
The Shelters of Stone,2004,Jean M. Auel,Fiction,891
A Wizard of Earthsea,2004,Ursula K. Le Guin,Fiction,183
Interface,2005,"Neal Stephenson, Frederick George",Fiction,640
The Cobweb,2005,"Neal Stephenson, J. Frederick George",Fiction,448
Gates Of Fire,2005,Steven Pressfield,Fiction,392
Odd Thomas,2006,Dean Ray Koontz,FICTION,446
True Blue,1989,"Daniel Topolski, Patrick Robinson",,320
The Celestine Prophecy,1994,James Redfield,,282
Death of a Snob,1996,M. C. Beaton,Fiction,192
Encyclopedia Brown and the Case of the Sleeping Dog,1999,Donald J. Sobol,Juvenile Fiction,80
Encyclopedia Brown and the Case of the Slippery Salamander,2000,Donald J. Sobol,Juvenile Fiction,96
Control Freak,2001,Francine Pascal,Juvenile Fiction,192
Sweet 18,2003,Francine Pascal,Juvenile Fiction,179
The Time Travelers,2006,Caroline B. Cooney,Juvenile Fiction,420
Last Wish,1999,"Francine Pascal, Kate William",,231
Shadows,1993,John Saul,Fiction,393
The Road to Yesterday,1993,Lucy Maud Montgomery,Juvenile Fiction,403
Nightmare Asylum,1993,Steve Perry,Fiction,277
A Dark and Hungry God Arises,1993,Stephen R. Donaldson,Fiction,518
"Sam Walton, Made in America",1993,"Sam Walton, John Huey",Biography & Autobiography,346
It Doesn't Take a Hero,1993,"H. Norman Schwarzkopf, Peter Petre",Biography & Autobiography,640
The Hollow Man,1993,Dan Simmons,Fiction,342
The Hand of Chaos,1993,Margaret Weis,Fiction,446
Magician,1993,Raymond E. Feist,Fiction,499
A Kiss Before Dying,1996,"Kate William, Francine Pascal",Juvenile Fiction,197
Adam's Fall,1994,Sandra Brown,Fiction,208
I. Asimov,1995,Isaac Asimov,Biography & Autobiography,578
Happily Ever After,1997,"Kate William, Francine Pascal",Juvenile Fiction,199
Heaven's Price,1995,Sandra Brown,Fiction,240
Vice,1996,Jane Feather,Fiction,419
The Rise of Endymion,1998,Dan Simmons,Fiction,709
Brightness Reef,1996,David Brin,Fiction,661
The Martians,2000,Kim Stanley Robinson,Fiction,434
Shadows of the Empire,1997,Steve Perry,Fiction,385
Ship of Destiny,2001,Robin Hobb,Fiction,789
Floaters,1997,Joseph Wambaugh,Fiction,291
Tidings of Great Joy,1999,Sandra Brown,Fiction,231
Send No Flowers,2000,Sandra Brown,Fiction,225
The Rana Look,2003,Sandra Brown,Fiction,256
Sunny Chandler's Return,2004,Sandra Brown,Fiction,256
The Memoirs of Elizabeth Frankenstein,1996,Theodore Roszak,Fiction,440
Legacy of the Darksword,1998,"Margaret Weis, Tracy Hickman",Fiction,400
The Third Victim,2001,Lisa Gardner,Fiction,384
Iron Fist,1998,Aaron Allston,Fiction,320
Fear Nothing,1998,Dean Ray Koontz,Fiction,448
Reave the Just and Other Tales,2000,Stephen R. Donaldson,Fiction,486
Dune,2002,"Brian Herbert, Kevin J. Anderson",Fiction,667
Passage,2002,Connie Willis,Fiction,780
The Truelove Bride,1999,Shana Abé,Fiction,357
The Summer House,2000,Jean Stone,Fiction,352
War of the Rats,2000,David L. Robbins,Fiction,512
A Kiss to Remember,2002,Teresa Medeiros,Fiction,353
Intimate Enemies,2000,Shana Abe,Fiction,390
The Secret Swan,2001,Shana Abé,Fiction,393
A Feast for Crows,2006,George R. R. Martin,Fiction,1061
Icebound,2000,Dean Koontz,Fiction,408
Intensity,2000,Dean Ray Koontz,Fiction,436
Death of a Blue Movie Star,2000,Jeffery Deaver,Fiction,336
Legacy of the Dead,2001,Charles Todd,Fiction,356
Watchers of Time,2002,Charles Todd,Fiction,421
A Fearsome Doubt,2003,Charles Todd,Fiction,384
Hard News,2001,Jeffery Deaver,Fiction,304
The Face,2003,Dean Ray Koontz,Fiction,649
The Taking,2005,Dean Ray Koontz,Fiction,410
Alone,2005,Lisa Gardner,Fiction,451
The Last Mermaid,2004,Shana Abé,FICTION,581
Echo of Eternity,2003,Maggie Furey,Fiction,582
Forty Signs of Rain,2005,Kim Stanley Robinson,Fiction,393
The Secret on Ararat,2006,"Tim F. LaHaye, Bob Phillips",Fiction,416
A Cold Treachery,2005,Charles Todd,Fiction,416
Industrial Magic,2004,Kelley Armstrong,Fiction,528
Haunted,2005,Kelley Armstrong,Fiction,495
Seventy-Seven Clocks,2005,Christopher Fowler,Fiction,496
Beach Girls,2004,Luanne Rice,Fiction,448
The Smoke Thief,2006,Shana Abe,Fiction,352
Prince of the Blood,2005,Raymond E. Feist,Fiction,429
Exit Strategy,2007,Kelley Armstrong,Fiction,480
Velocity,2005,Dean Ray Koontz,Fiction,460
Forever Odd,2006,Dean Ray Koontz,Fiction,364
Public Secrets,2006,Nora Roberts,Fiction,481
Lines and Shadows,1995,Joseph Wambaugh,,416
The Universe in a Nutshell,2001,"Stephen W. Hawking, STEPHEN W AUTOR HAWKING",Science,216
Social Intelligence,2006,Daniel Goleman,Psychology,403
"I, Robot",2004,Isaac Asimov,Fiction,224
Sailing from Byzantium,2006,Colin Wells,History,368
The Husband,2006,Dean Ray Koontz,Fiction,400
The Dream Thief,2006,Shana Abé,Fiction,288
The Devil in the White City,2004,Erik Larson,Architecture,496
Nights in Rodanthe,2003,Nicholas Sparks,,222
The Sinner,2004,Tess Gerritsen,,419
The Mapmaker's Wife,2005,Robert Whitaker,,448
Princess,2004,Jean Sasson,English fiction,280
The Surgeon,2005,Tess Gerritsen,,416
The Apprentice,2005,Tess Gerritsen,,411
Light,2004,M. John Harrison,Fiction,
The Last of the Mohicans,2005,James Fenimore Cooper,Fiction,
THE GOON SHOW,2005,VÁRIOS AUTORES,,2
