title,year,author,genres,pages
Three Rotten Eggs,2005,Gregory Maguire,Juvenile Fiction,240
The Wicked Day,2003,Mary Stewart,Fiction,417
The Game,2005,Neil Strauss,Biography & Autobiography,464
"The Lion, the Witch and the Wardrobe (picture book edition)",2004,C. S. Lewis,Juvenile Fiction,48
Gold,2003,Isaac Asimov,Fiction,416
The Kindness of Strangers,2007,Katrina Kittle,Fiction,400
Built to Last,2004,"Jim Collins, Jerry I. Porras",Business & Economics,368
Fluke,2004,Christopher Moore,Fiction,321
Lord of Light,2004,Roger Zelazny,Fiction,296
The Perennial Philosophy,2004,Aldous Huxley,Philosophy,336
A Crack in the Edge of the World,2006,Simon Winchester,History,419
Dead Witch Walking,2004,Kim Harrison,Fiction,416
"The Good, the Bad, and the Undead",2005,Kim Harrison,Fiction,453
"Men Are from Mars, Women Are from Venus",2004,John Gray,Family & Relationships,368
Sabriel (adult),2004,Garth Nix,Fiction,311
Slouching Toward Nirvana,2006,Charles Bukowski,Poetry,288
Bad Childhood---Good Life,2006,Laura Schlessinger,Self-Help,272
Cat Cross Their Graves,2005,Shirley Rousseau Murphy,Fiction,385
Cat Breaking Free,2006,Shirley Rousseau Murphy,Fiction,375
Slider,2004,Patrick Robinson,Sports & Recreation,416
The Black Dahlia Files,2006,Don Wolfe,,448
Metro Girl,2005,Janet Evanovich,Fiction,374
Motor Mouth,2006,Janet Evanovich,Fiction,312
Mystic River,2003,Dennis Lehane,Fiction,416
Great Short Works of Herman Melville,2004,Herman Melville,Fiction,512
The Day I Swapped My Dad for Two Goldfish,2006,Neil Gaiman,Juvenile Fiction,64
Eleven Minutes,2005,Paulo Coelho,Fiction,273
Zen and the Art of Motorcycle Maintenance,2006,Robert M. Pirsig,Psychology,540
Ulysses S. Grant,2004,Michael Korda,Biography & Autobiography,176
A Dirty Job,2006,Christopher Moore,Fiction,387
Quicksilver,2004,Neal Stephenson,Fiction,927
Every Book Its Reader,2006,Nicholas A. Basbanes,Literary Criticism,400
Flirting With Danger,2005,Suzanne Enoch,Fiction,384
Lost Horizon,2004,James Hilton,Fiction,241
The Doors of Perception and Heaven and Hell,2004,Aldous Huxley,Philosophy,187
Thanksgiving,2006,Janet Evanovich,Fiction,228
Love Overboard,2005,Janet Evanovich,Fiction,244
Back to the Bedroom,2005,Janet Evanovich,Fiction,234
The Rocky Road to Romance,2004,Janet Evanovich,Fiction,249
Thomas Jefferson,2005,Christopher Hitchens,Biography & Autobiography,188
Muhammad,2006,Karen Armstrong,Biography & Autobiography,256
Meeting Jesus Again for the First Time,1995,Marcus J. Borg,Religion,160
Reading the Bible Again for the First Time,2002,Marcus J. Borg,Religion,321
Shadow of the Almighty,1989,Elisabeth Elliot,Religion,272
The Dance of the Dissident Daughter,2002,Sue Monk Kidd,Religion,256
C.S. Lewis,1996,C. S. Lewis,Religion,176
The Screwtape Letters,2001,C. S. Lewis,Religion,224
Mere Christianity,2001,C. S. Lewis,Religion,227
Learning to Love,1998,Thomas Merton,Religion,382
The Mediator #4: Darkest Hour,2004,Meg Cabot,Juvenile Fiction,316
Cash,2003,Johnny Cash,Biography & Autobiography,310
"The Collected Letters of C.S. Lewis, Volume 1",2004,C. S. Lewis,Biography & Autobiography,1072
Touching the Void,2004,Joe Simpson,Sports & Recreation,218
Anybody Out There?,2006,Marian Keyes,Fiction,456
My Little Pony: Hide-and-Seek,2004,Jennifer Frantz,Juvenile Fiction,24
The Confusion,2005,Neal Stephenson,Fiction,815
Bridge to Terabithia (rack),2004,Katherine Paterson,Juvenile Fiction,191
Practical Demonkeeping,2004,Christopher Moore,Fiction,256
Island of the Sequined Love Nun,2004,Christopher Moore,Fiction,336
The Lust Lizard of Melancholy Cove,2004,Christopher Moore,Fiction,304
Weetzie Bat,2004,Francesca Lia Block,Juvenile Fiction,128
Behind the Curtain,2006,Peter Abrahams,Juvenile Fiction,352
"Catherine, Called Birdy (Summer Reading Edition)",2004,Karen Cushman,Juvenile Fiction,224
Wicked Musical Tie-in Edition,2004,Gregory Maguire,Fiction,409
Son of a Witch,2006,Gregory Maguire,Fiction,352
This Rough Magic,2004,Mary Stewart,Fiction,373
Airs Above the Ground,2004,Mary Stewart,Fiction,384
The Mediator #5: Haunted,2004,Meg Cabot,Juvenile Fiction,263
Beauty,2005,Robin McKinley,Juvenile Fiction,325
Mating in Captivity,2006,Esther Perel,Psychology,272
Forgotten New York,2006,Kevin Walsh,Travel,384
The Dead Beat,2007,Marilyn Johnson,Social Science,272
Charms for the Easy Life,2005,Kaye Gibbons,Fiction,272
The Reading Group,2005,Elizabeth Noble,Fiction,429
A Couple of April Fools,2005,Gregory Maguire,Juvenile Fiction,240
What Christians Believe,2005,C. S. Lewis,Religion,98
Psyche in a Dress,2006,Francesca Lia Block,Juvenile Fiction,116
YOU: The Owner's Manual,2005,"Michael F Roizen, Mehmet C Oz",Health & Fitness,417
The Chronicles of Narnia Movie Tie-in Edition (adult),2005,C. S. Lewis,Fiction,766
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",2005,C. S. Lewis,Juvenile Fiction,189
