title,year,countries,genres,director
Don't Look Now,1973,United Kingdom;Italy,,Nicolas Roeg
Nashville,1975,USA,,Robert Altman
A Woman under the Influence,1974,USA,,John Cassavetes
To Be or Not to Be,1942,USA,,Ernst Lubitsch
Bringing Up Baby,1938,USA,,Howard Hawks
The Man Who Shot Liberty Valance,1962,USA,,John Ford
Touch of Evil,1958,USA,,Orson Welles
Wild Strawberries,1957,Sweden,,Ingmar Bergman
The Wizard of Oz,1939,USA,,Victor Fleming
"Goodbye, Dragon Inn",2003,Taiwan,,Tsai Ming-liang
The Godfather Part II,1974,USA,,Francis Ford Coppola
Jaws,1975,USA,,Steven Spielberg
Come and See,1985,USSR,,Elem Klimov
La Maman et la Putain,1973,France,,Jean Eustache
Vagabond,1985,France;United Kingdom,,Agnès Varda
The House Is Black,1962,Iran,,Forough Farokhzad
Rio Bravo,1958,USA,,Howard Hawks
Once upon a Time in the West,1968,Italy;USA,,Sergio Leone
A Man Escaped,1956,France,,Robert Bresson
The General,1926,USA,,"Buster Keaton, Clyde Bruckman"
Black Girl,1965,Senegal;France,,Ousmane Sembène
Tropical Malady,2004,France;Thailand;Germany;Italy;Switzerland,,Apichatpong Weerasethakul
Get Out,2017,USA;Japan,,Jordan Peele
Parasite,2019,Republic of Korea,,Bong Joon-ho
Yi Yi,1999,Taiwan;Japan,,Edward Yang
Ugetsu Monogatari,1953,Japan,,Kenji Mizoguchi
The Leopard,1963,Italy;France,,Luchino Visconti
Madame de...,1953,France;Italy,,Max Ophuls
The Shining,1980,USA;United Kingdom,,Stanley Kubrick
CHUNGKING EXPRESS,1994,Hong Kong,,Wong Kar Wai
Blue Velvet,1986,USA,,David Lynch
The Spirit of the Beehive,1973,Spain,,Víctor Erice
Pierrot le fou,1965,France;Italy,,Jean-Luc Godard
Histoire(s) du Cinéma,1988,France;Switzerland,,Jean-Luc Godard
A Matter of Life and Death,1946,United Kingdom,,"Michael Powell, Emeric Pressburger"
Modern Times,1936,USA,,Charles Chaplin
Sunset Blvd.,1950,USA,,Billy Wilder
Céline and Julie Go Boating,1974,France,,Jacques Rivette
A Brighter Summer Day,1991,Taiwan,,Edward Yang
Sátántangó,1994,Hungary;Germany;Switzerland,,Béla Tarr
Spirited Away,2001,Japan,,Hayao Miyazaki
Sansho the Bailiff,1954,Japan,,Kenji Mizoguchi
Imitation of Life,1959,USA,,Douglas Sirk
L'avventura,1960,Italy;France,,Michelangelo Antonioni
Journey to Italy,1954,Italy;France,,Roberto Rossellini
My Neighbour Totoro,1988,Japan,,Hayao Miyazaki
The Red Shoes,1948,United Kingdom,,"Michael Powell, Emeric Pressburger"
Metropolis,1927,Germany,,Fritz Lang
Andrei Rublev,1966,USSR,,Andrei Tarkovsky
La Jetée,1962,France,,Chris Marker
The Gleaners and I,2000,France,,Agnès Varda
Touki Bouki,1973,Senegal,,Djibril Diop Mambéty
The Third Man,1949,United Kingdom,,Carol Reed
GoodFellas,1990,USA,,Martin Scorsese
Casablanca,1942,USA,,Michael Curtiz
Daughters of the Dust,1991,USA,,Julie Dash
La dolce vita,1960,Italy;France,,Federico Fellini
Moonlight,2016,USA,,Barry Jenkins
Sans Soleil,1982,France,,Chris Marker
The Apartment,1960,USA,,Billy Wilder
Sherlock Jr.,1924,USA,,Buster Keaton
Le Mépris,1963,France;Italy,,Jean-Luc Godard
Battleship Potemkin,1925,USSR,,Sergei M. Eisenstein
